e,E,s,k
kline,1714310471005,BTCUSDT,"{'t': 1714310470000, 'T': 1714310470999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021994, 'L': 3577021997, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.07809000', 'n': 4, 'x': True, 'q': '4978.57798620', 'V': '0.00138000', 'Q': '87.98103060', 'B': '0'}"
kline,1714310472005,BTCUSDT,"{'t': 1714310471000, 'T': 1714310471999, 's': 'BTCUSDT', 'i': '1s', 'f': -1, 'L': -1, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00000000', 'n': 0, 'x': True, 'q': '0.00000000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310473004,BTCUSDT,"{'t': 1714310472000, 'T': 1714310472999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577021998, 'L': 3577022000, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00199000', 'n': 3, 'x': True, 'q': '126.87117880', 'V': '0.00024000', 'Q': '15.30104880', 'B': '0'}"
kline,1714310474004,BTCUSDT,"{'t': 1714310473000, 'T': 1714310473999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022001, 'L': 3577022004, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00924000', 'n': 4, 'x': True, 'q': '589.09036080', 'V': '0.00744000', 'Q': '474.33251280', 'B': '0'}"
kline,1714310475004,BTCUSDT,"{'t': 1714310474000, 'T': 1714310474999, 's': 'BTCUSDT', 'i': '1s', 'f': -1, 'L': -1, 'o': '63754.37000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.37000000', 'v': '0.00000000', 'n': 0, 'x': True, 'q': '0.00000000', 'V': '0.00000000', 'Q': '0.00000000', 'B': '0'}"
kline,1714310476004,BTCUSDT,"{'t': 1714310475000, 'T': 1714310475999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022005, 'L': 3577022010, 'o': '63754.36000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00599000', 'n': 6, 'x': True, 'q': '381.88864480', 'V': '0.00284000', 'Q': '181.06241080', 'B': '0'}"
kline,1714310477005,BTCUSDT,"{'t': 1714310476000, 'T': 1714310476999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022011, 'L': 3577022012, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.00081000', 'n': 2, 'x': True, 'q': '51.64103570', 'V': '0.00041000', 'Q': '26.13929170', 'B': '0'}"
kline,1714310478005,BTCUSDT,"{'t': 1714310477000, 'T': 1714310477999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022013, 'L': 3577022020, 'o': '63754.37000000', 'c': '63754.36000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.02789000', 'n': 8, 'x': True, 'q': '1778.10913420', 'V': '0.00338000', 'Q': '215.48977060', 'B': '0'}"
kline,1714310479005,BTCUSDT,"{'t': 1714310478000, 'T': 1714310478999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022021, 'L': 3577022025, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.07050000', 'n': 5, 'x': True, 'q': '4494.68307680', 'V': '0.06968000', 'Q': '4442.40450160', 'B': '0'}"
kline,1714310480005,BTCUSDT,"{'t': 1714310479000, 'T': 1714310479999, 's': 'BTCUSDT', 'i': '1s', 'f': 3577022026, 'L': 3577022028, 'o': '63754.36000000', 'c': '63754.37000000', 'h': '63754.37000000', 'l': '63754.36000000', 'v': '0.06466000', 'n': 3, 'x': True, 'q': '4122.35754230', 'V': '0.06247000', 'Q': '3982.73549390', 'B': '0'}"
